Project,Client,Service,Total Hours Budget,Project Start Date,Project End Date,Budget
Alameda Health System-Business Development/Executive Coaching,Alameda Health System,Business Development/Executive Coaching,70,2/23/2026,6/7/2026,"$16,500"
Alameda Health System-Facilitation,Alameda Health System,Facilitation,50,4/1/2026,4/14/2026,"$8,500"
Alameda Health System-Visual Brand Identity,Alameda Health System,Visual Brand Identity,235,3/16/2026,5/31/2026,"$38,500"
Alameda Health System-Brand Guidelines,Alameda Health System,Brand Guidelines,90,4/13/2026,5/17/2026,"$18,000"
Alameda Health System-Website Design,Alameda Health System,Website Design,230,5/25/2026,7/12/2026,"$34,000"
Alameda Health System-Document & Reports,Alameda Health System,Document & Reports,55,6/15/2026,7/12/2026,"$10,000"
Alameda Health System-Infographics,Alameda Health System,Infographics,40,6/15/2026,6/28/2026,"$6,500"
UC Berkeley-Facilitation,UC Berkeley,Facilitation,40,2/9/2026,2/15/2026,"$9,000"
UC Berkeley-Visual Brand Identity,UC Berkeley,Visual Brand Identity,200,3/2/2026,4/12/2026,"$42,000"
UC Berkeley-Brand Guidelines,UC Berkeley,Brand Guidelines,65,3/30/2026,5/17/2026,"$11,500"
UC Berkeley-Design System Application,UC Berkeley,Design System Application,150,4/20/2026,6/21/2026,"$31,000"
UC Berkeley-Website Design,UC Berkeley,Website Design,155,4/13/2026,6/14/2026,"$30,500"
UC Berkeley-Presentations,UC Berkeley,Presentations,75,6/9/2026,7/13/2026,"$13,500"
UC Berkeley-Infographics,UC Berkeley,Infographics,50,6/22/2026,7/26/2026,"$8,500"
UC Merced-Business Development/Executive Coaching,UC Merced,Business Development/Executive Coaching,40,5/4/2026,7/12/2026,"$9,000"
UC Merced-Facilitation,UC Merced,Facilitation,50,4/19/2026,5/9/2026,"$11,000"
UC Merced-Visual Brand Identity,UC Merced,Visual Brand Identity,150,4/27/2026,6/28/2026,"$32,000"
UC Merced-Design System Application,UC Merced,Design System Application,95,6/29/2026,8/9/2026,"$19,500"
UC Merced-Website Design,UC Merced,Website Design,160,6/29/2026,8/16/2026,"$33,000"
UC Merced-Document & Reports,UC Merced,Document & Reports,45,7/20/2026,9/13/2026,"$8,500"
California Partners Project-Visual Brand Identity,California Partners Project,Visual Brand Identity,185,8/10/2026,10/4/2026,"$28,500"
California Partners Project-Website Design,California Partners Project,Website Design,135,10/12/2026,12/9/2026,"$20,000"
California Partners Project-Presentations,California Partners Project,Presentations,35,10/25/2026,11/7/2026,"$5,000"
California Partners Project-Document & Reports,California Partners Project,Document & Reports,80,11/9/2026,12/20/2026,"$14,500"
California Partners Project-Infographics,California Partners Project,Infographics,55,10/26/2026,11/15/2026,"$8,500"
The Smithsonian-Business Development/Executive Coaching,The Smithsonian,Business Development/Executive Coaching,80,10/5/2026,12/20/2026,"$18,500"
The Smithsonian-Facilitation,The Smithsonian,Facilitation,20,11/2/2026,11/15/2026,"$4,500"
The Smithsonian-Visual Brand Identity,The Smithsonian,Visual Brand Identity,245,11/2/2026,12/20/2026,"$40,000"
The Smithsonian-Website Design,The Smithsonian,Website Design,185,12/7/2026,2/28/2027,"$27,000"
The Smithsonian-Document & Reports,The Smithsonian,Document & Reports,90,2/1/2027,2/21/2027,"$16,000"
