id,project_id,date,hours,description
1,1,2026-04-14,8,Logo redesign concepts and client revisions
2,1,2026-04-15,6,Brand guidelines document — typography and colour
3,1,2026-04-16,8,Stakeholder presentation deck
4,1,2026-04-17,7,Final asset delivery and file prep
5,1,2026-04-21,9,Additional revision round after client feedback
6,1,2026-04-22,8,Brand guidelines finalisation
7,1,2026-04-23,8,Overflow: secondary logo variants
8,1,2026-04-24,10,Overflow: social media asset kit
9,2,2026-04-14,6,Initial moodboard and discovery
10,2,2026-04-15,7,Logo concepts — round 1
11,2,2026-04-17,6,Client feedback session and revision
12,2,2026-04-21,7,Final logo and colour palette delivery
13,3,2026-04-22,6,Project kickoff and sitemap planning
14,3,2026-04-23,6,Wireframes for homepage and about page
15,4,2026-04-07,8,Slide structure and visual direction
16,4,2026-04-08,9,Content design and data visualisation
17,4,2026-04-09,8,Final polish and export
18,5,2026-04-23,4,Brand discovery workshop
19,5,2026-04-24,4,Initial moodboard
